genres,title
"['Comedy', 'Romance']",Two If by Sea
['Comedy'],Bio-Dome
"['Action', 'Science Fiction']",Lawnmower Man 2: Beyond Cyberspace
"['Drama', 'Family']",Two Bits
"['Comedy', 'Romance']",French Twist
['Comedy'],Friday
"['Horror', 'Action', 'Thriller', 'Crime']",From Dusk Till Dawn
"['Action', 'Thriller', 'Romance']",Fair Game
"['Comedy', 'Drama', 'Romance']",Kicking and Screaming
"['Drama', 'History']",Les Miserables
"['Drama', 'Romance']",Bed of Roses
"['Comedy', 'Family']",Big Bully
"['Horror', 'Science Fiction']",Screamers
['Documentary'],Nico Icon
"['Drama', 'Thriller']",The Crossing Guard
"['Drama', 'Thriller']",The Juror
"['Family', 'Drama']",The White Balloon
"['Drama', 'Crime']",Things to Do in Denver When You're Dead
"['Drama', 'Comedy']",Antonia's Line
"['Romance', 'Drama']",Once Upon a Time... When We Were Colored
"['Drama', 'Romance']",Angels and Insects
"['Action', 'Drama']",White Squall
"['Adventure', 'Comedy', 'Family']",Dunston Checks In
['Comedy'],Black Sheep
"['Crime', 'Drama', 'Thriller']",Nick of Time
['Drama'],The Journey of August King
"['Drama', 'Horror', 'Thriller', 'Romance']",Mary Reilly
"['Comedy', 'Horror', 'Romance']",Vampire in Brooklyn
"['Comedy', 'Drama', 'Romance']",Beautiful Girls
"['Action', 'Adventure', 'Drama', 'Thriller']",Broken Arrow
['Comedy'],A Midwinter's Tale
['Drama'],La Haine
"['Action', 'Adventure', 'Drama', 'Science Fiction', 'Thriller']",Shopping
['Documentary'],Heidi Fleiss: Hollywood Madam
"['Drama', 'Thriller']",City Hall
"['Comedy', 'Crime', 'Drama']",Bottle Rocket
"['Comedy', 'Romance']",Mr. Wrong
"['Drama', 'Mystery', 'Science Fiction', 'Thriller']",Unforgettable
['Comedy'],Happy Gilmore
"['Drama', 'Romance']",The Bridges of Madison County
"['Drama', 'Comedy', 'Family']",Nobody Loves Me
"['Action', 'Comedy', 'Music', 'Family', 'Adventure']",Muppet Treasure Island
['Documentary'],Catwalk
"['Action', 'Drama', 'History', 'War']",Braveheart
"['Crime', 'Drama']",Taxi Driver
"['Crime', 'Action', 'Comedy', 'Thriller']",Rumble in the Bronx
"['Drama', 'Thriller']",Before and After
['Drama'],Margaret's Museum
['Comedy'],Happiness Is in the Field
"['Documentary', 'Drama', 'Foreign']",Anne Frank Remembered
"['Comedy', 'Crime', 'Drama']",The Young Poisoner's Handbook
"['Comedy', 'Romance']",If Lucy Fell
"['Comedy', 'Drama']",Steal Big Steal Little
"['Action', 'Adventure', 'Comedy', 'Drama', 'Family']",Race the Sun
['Drama'],The Boys of St. Vincent
"['Comedy', 'Romance']",Boomerang
"['Drama', 'Comedy', 'Romance']",Chungking Express
"['Drama', 'Romance']",The Star Maker
"['Comedy', 'Romance']",Flirting with Disaster
['Fantasy'],The Neverending Story III: Escape from Fantasia
['Drama'],The Silences of the Palace
"['Comedy', 'Romance']",Pie in the Sky
"['Comedy', 'Drama']",Angela
"['Drama', 'Romance', 'War']",Frankie Starlight
"['Action', 'Thriller', 'Mystery', 'Romance']",Jade
"['Comedy', 'Drama', 'Romance']",Nueba Yol
"['Music', 'Documentary']",Sonic Outlaws
['Comedy'],Down Periscope
['Documentary'],From the Journals of Jean Seberg
['Comedy'],Man of the Year
['Drama'],The Neon Bible
"['Drama', 'Romance']",Up Close & Personal
['Comedy'],The Birdcage
['Drama'],Virgin Mary
"['Comedy', 'Drama', 'Romance']",The Brothers McMullen
"['Action', 'Comedy', 'Crime', 'Thriller']",Bad Boys
"['Action', 'Adventure', 'Drama', 'Family']",The Amazing Panda Adventure
"['Drama', 'Crime']",The Basketball Diaries
"['Romance', 'Drama', 'Comedy']",An Awfully Big Adventure
"['Crime', 'Comedy', 'Drama', 'Thriller']",Amateur
['Drama'],Apollo 13
['Adventure'],Rob Roy
"['Drama', 'Horror']",The Addiction
"['Action', 'Crime', 'Fantasy']",Batman Forever
"['Drama', 'Romance']",Belle de Jour
"['Drama', 'Thriller']",Beyond Rangoon
['Comedy'],Blue in the Face
"['Action', 'Comedy']",Canadian Bacon
"['Fantasy', 'Comedy', 'Family']",Casper
"['Mystery', 'Crime', 'Drama']",Clockers
"['Action', 'Adventure', 'Drama', 'Mystery', 'Science Fiction', 'Thriller']",Congo
"['Action', 'Thriller', 'Drama']",Crimson Tide
['Documentary'],Crumb
"['Thriller', 'Action', 'Crime']",Desperado
"['Drama', 'Mystery', 'Thriller']",Devil in a Blue Dress
"['Action', 'Thriller']",Die Hard: With a Vengeance
"['Action', 'Comedy', 'Crime', 'Drama']",The Doom Generation
"['Drama', 'Crime']",Feast of July
"['Action', 'Adventure', 'Drama', 'Romance']",First Knight
['Adventure'],Free Willy 2 - The Adventure Home
"['Action', 'Crime', 'Thriller', 'Drama']",Hackers
"['Comedy', 'Drama', 'Romance']",Jeffrey
"['Adventure', 'Action', 'Drama', 'Science Fiction', 'Thriller']",Johnny Mnemonic
['Science Fiction'],Judge Dredd
"['Comedy', 'Drama']",Jury Duty
"['Drama', 'Crime']",Kids
"['Drama', 'Comedy']",Living in Oblivion
"['Mystery', 'Horror', 'Thriller']",Lord of Illusions
"['Comedy', 'Drama']",Love & Human Remains
"['Drama', 'Family', 'Romance']",Mad Love
"['Romance', 'Comedy']",Mallrats
"['Action', 'Adventure', 'Science Fiction', 'Family', 'Fantasy']",Mighty Morphin Power Rangers: The Movie
"['Comedy', 'Drama', 'Romance']",Moonlight and Valentino
"['Thriller', 'Foreign']",Mute Witness
"['Horror', 'Thriller']",Nadja
"['Crime', 'Drama', 'Mystery', 'Thriller', 'Action']",The Net
['Comedy'],Nine Months
['Comedy'],Party Girl
"['Fantasy', 'Horror', 'Thriller']",The Prophecy
"['Fantasy', 'Comedy', 'Drama']",Reckless
['Drama'],Safe
"['Drama', 'History', 'Romance']",The Scarlet Letter
['Drama'],Showgirls
"['Comedy', 'Drama']",Smoke
['Comedy'],Something to Talk About
"['Science Fiction', 'Horror', 'Action']",Species
['Drama'],The Stars Fell on Henrietta
"['Crime', 'Drama', 'Science Fiction', 'Thriller']",Strange Days
"['Drama', 'Romance']",The Umbrellas of Cherbourg
['Thriller'],The Tie That Binds
"['Drama', 'Fantasy']",Three Wishes
"['Drama', 'Romance']",Total Eclipse
['Comedy'],"To Wong Foo, Thanks for Everything! Julie Newmar"
"['Action', 'Thriller']",Under Siege 2: Dark Territory
"['Comedy', 'Drama', 'Family']",Unstrung Heroes
['Documentary'],Unzipped
"['Drama', 'Romance']",A Walk in the Clouds
"['Adventure', 'Action']",Waterworld
['Drama'],White Man's Burden
"['Action', 'Western']",Wild Bill
['Drama'],The Browning Version
"['Adventure', 'Action', 'Comedy', 'Crime', 'Family']",Bushwhacked
['Drama'],Burnt by the Sun
"['Drama', 'War']",Before the Rain
"['Drama', 'Romance']",Before Sunrise
['Comedy'],Billy Madison
"['Drama', 'Thriller']",The Babysitter
"['Comedy', 'Drama']",Boys on the Side
"['Drama', 'Family']",The Cure
"['Thriller', 'Drama', 'Horror', 'Mystery']",Castle Freak
"['Drama', 'Family', 'Romance']",Circle of Friends
['Comedy'],Clerks
"['Romance', 'Drama', 'Comedy']",Don Juan DeMarco
"['Drama', 'Thriller', 'Crime', 'Mystery', 'Romance']",Disclosure
['Thriller'],Dream Man
"['Action', 'Adventure', 'Thriller']",Drop Zone
"['Crime', 'Comedy', 'Fantasy']",Destiny Turns on the Radio
"['Drama', 'Thriller', 'Mystery']",Death and the Maiden
"['Crime', 'Drama', 'Mystery']",Dolores Claiborne
['Comedy'],Dumb and Dumber
"['Comedy', 'Drama', 'Romance']",Eat Drink Man Woman
"['Drama', 'Mystery']",Exotica
"['Thriller', 'Comedy', 'Crime', 'Romance']",Exit to Eden
"['Comedy', 'Drama', 'History']",Ed Wood
"['Comedy', 'Romance']",French Kiss
"['Comedy', 'Drama', 'Romance']",Forget Paris
"['Action', 'Adventure', 'Drama', 'Family']",Far from Home: The Adventures of Yellow Dog
"['Romance', 'Animation', 'Family', 'Comedy', 'Adventure']",A Goofy Movie
"['Drama', 'Thriller']",Hideaway
"['Drama', 'Family', 'Fantasy']",Fluke
"['History', 'Drama']",Farinelli
"['Drama', 'Family', 'Fantasy']",Gordy
"['Fantasy', 'Animation', 'Science Fiction', 'Family']",Gumby: The Movie
"['Drama', 'Action', 'Thriller', 'Crime']",The Glass Shield
['Documentary'],Hoop Dreams
"['Drama', 'Fantasy']",Heavenly Creatures
"['Comedy', 'Family']",Houseguest
"['Drama', 'Music', 'Romance']",Immortal Beloved
"['Comedy', 'Family', 'Drama']",Heavyweights
"['Action', 'Thriller']",The Hunted
"['Comedy', 'Drama', 'Romance']",I.Q.
"['Horror', 'Romance']",Interview with the Vampire
"['Drama', 'Romance']",Jefferson in Paris
"['Comedy', 'Crime']",The Jerky Boys
"['Comedy', 'Family', 'Romance']",Junior
"['Action', 'Drama', 'Mystery', 'Thriller']",Just Cause
"['Adventure', 'Fantasy', 'Comedy', 'Science Fiction', 'Family']",A Kid in King Arthur's Court
"['Action', 'Crime', 'Drama', 'Thriller']",Kiss of Death
"['Adventure', 'Action', 'Science Fiction']",Star Wars
"['Drama', 'Romance']",Little Women
"['Drama', 'Family', 'Fantasy']",A Little Princess
['Drama'],Ladybird Ladybird
"['Crime', 'Drama']",L'Enfer
"['Drama', 'Romance']",Like Water for Chocolate
"['Adventure', 'Drama', 'Romance', 'War']",Legends of the Fall
"['Adventure', 'Comedy', 'Family']",Major Payne
"['Action', 'Drama']",Little Odessa
"['Crime', 'Drama']",Mi Vida Loca
"['Drama', 'Romance']",Love Affair
['Drama'],Losing Isaiah
"['Comedy', 'Drama', 'History']",The Madness of King George
"['Drama', 'Horror', 'Science Fiction', 'Romance']",Mary Shelley's Frankenstein
"['Action', 'Comedy', 'Family']",Man of the House
"['Comedy', 'Drama', 'Romance']",Mixed Nuts
"['Comedy', 'Romance']",Milk Money
"['Fantasy', 'Drama', 'Family']",Miracle on 34th Street
"['Comedy', 'Romance']",Miami Rhapsody
"['Comedy', 'Drama']",My Family
"['Crime', 'Drama']",Murder in the First
"['Drama', 'Comedy']",Nobody's Fool
"['Drama', 'Thriller']",Nell
"['Crime', 'Drama']",New Jersey Drive
"['Action', 'Thriller', 'Crime', 'Drama']",New York Cop
['Horror'],Beyond Bedlam
"['Science Fiction', 'Action', 'Thriller']",Nemesis 2 - Nebula
"['Drama', 'Romance']",Nina Takes a Lover
"['Crime', 'Thriller', 'Drama']",Natural Born Killers
"['Comedy', 'Drama', 'Romance']",Only You
['Drama'],Once Were Warriors
"['Drama', 'Romance', 'Thriller']",Poison Ivy II: Lily
"['Action', 'Drama', 'Science Fiction', 'Thriller']",Outbreak
"['Thriller', 'Crime', 'Drama']",Leon: The Professional
"['Comedy', 'Drama', 'Romance']",The Perez Family
"['Comedy', 'Drama', 'Romance']",A Pyromaniac's Love Story
"['Thriller', 'Crime']",Pulp Fiction
['Drama'],Panther
"['Comedy', 'Drama']",Pushing Hands
"['Drama', 'Romance']",Priest
"['History', 'Drama']",Quiz Show
"['Drama', 'History']",Picture Bride
"['Drama', 'History']",Queen Margot
"['Action', 'Western']",The Quick and the Dead
"['Drama', 'Comedy']",Roommates
"['Drama', 'Comedy']",Prêt-à-Porter
"['Drama', 'Mystery', 'Romance']",Three Colors: Red
"['Drama', 'Music', 'Mystery']",Three Colors: Blue
"['Comedy', 'Drama', 'Mystery']",Three Colors: White
['Drama'],"Red Firecracker, Green Firecracker"
"['Comedy', 'Family', 'TV Movie']",Rent-a-Kid
"['Horror', 'Drama']",Relative Fear
"['Comedy', 'Drama']",Stuart Saves His Family
['Animation'],The Swan Princess
"['Drama', 'Family', 'Fantasy']",The Secret of Roan Inish
"['Action', 'Thriller']",The Specialist
"['Action', 'Adventure', 'Science Fiction']",Stargate
"['Fantasy', 'Drama', 'Comedy', 'Family']",The Santa Clause
"['Drama', 'Crime']",The Shawshank Redemption
"['Crime', 'Thriller']",Shallow Grave
"['Drama', 'Thriller']",Suture
"['Comedy', 'Drama']",Strawberry and Chocolate
"['Crime', 'Comedy']",Swimming with Sharks
"['Comedy', 'Drama', 'Romance']",The Sum of Us
['Comedy'],Senior Trip
"['Drama', 'Romance', 'War']",To Live
"['Action', 'Comedy', 'Fantasy', 'Science Fiction']",Tank Girl
"['Horror', 'Comedy', 'Thriller']",Tales from the Crypt: Demon Knight
"['Science Fiction', 'Action', 'Adventure', 'Thriller']",Star Trek: Generations
"['Crime', 'Horror', 'Thriller']",Tales from the Hood
"['Drama', 'Romance']",Tom & Viv
"['Thriller', 'Horror', 'Science Fiction']",Village of the Damned
['Comedy'],Tommy Boy
"['Drama', 'Romance']",Vanya on 42nd Street
"['Thriller', 'Crime']",The Underneath
"['Drama', 'War']",The Walking Dead
"['Romance', 'Drama']",What's Eating Gilbert Grape
"['Action', 'Crime', 'Science Fiction', 'Thriller']",Virtuosity
"['Comedy', 'Drama', 'Romance']",While You Were Sleeping
['Drama'],The War
"['Comedy', 'Romance']",Double Happiness
"['Drama', 'Comedy', 'Romance']",Muriel's Wedding
"['Comedy', 'Drama', 'Family']",The Baby-Sitters Club
"['Comedy', 'Mystery']",Ace Ventura: Pet Detective
"['Drama', 'Comedy']","The Adventures of Priscilla, Queen of the Desert"
"['Drama', 'Music']",Backbeat
"['Thriller', 'Drama', 'Romance']",Bitter Moon
"['Action', 'Comedy', 'Thriller']",Bullets Over Broadway
"['Action', 'Drama', 'Thriller']",Clear and Present Danger
"['Drama', 'Thriller', 'Crime', 'Mystery']",The Client
"['Comedy', 'Drama', 'Family', 'Romance']","Corrina, Corrina"
"['Comedy', 'Drama']",Crooklyn
"['Fantasy', 'Action', 'Thriller']",The Crow
['Drama'],Cobb
"['Fantasy', 'Comedy', 'Family']",The Flintstones
"['Comedy', 'Drama', 'Romance']",Forrest Gump
"['Comedy', 'Drama', 'Romance']",Four Weddings and a Funeral
"['Romance', 'Drama', 'Crime']",Higher Learning
"['Comedy', 'Drama', 'Romance']",I Like It Like That
"['Action', 'Comedy', 'Romance']",I Love Trouble
"['Comedy', 'Drama', 'Romance']",It Could Happen to You
"['Adventure', 'Drama', 'Family']",The Jungle Book
"['Documentary', 'Foreign']","The Wonderful, Horrible Life of Leni Riefenstahl"
"['Family', 'Animation', 'Drama']",The Lion King
"['Drama', 'History']",Little Buddha
"['Horror', 'Thriller', 'Mystery', 'Fantasy']",New Nightmare
"['Romance', 'Comedy', 'Crime', 'Fantasy']",The Mask
"['Action', 'Adventure', 'Comedy', 'Drama', 'Western']",Maverick
['Drama'],Mrs. Parker and the Vicious Circle
"['Comedy', 'Crime']",The Naked Gun 33⅓: The Final Insult
"['Comedy', 'Drama']",The Paper
['Drama'],Reality Bites
"['Crime', 'Drama', 'Thriller']",Red Rock West
"['Comedy', 'Family']",Ri¢hie Ri¢h
['Drama'],Safe Passage
"['Action', 'Adventure', 'Crime', 'Thriller']",The River Wild
"['Action', 'Adventure', 'Crime']",Speed
"['Comedy', 'Romance']",Speechless
"['Thriller', 'Science Fiction', 'Action', 'Crime']",Timecop
"['Action', 'Thriller']",True Lies
"['Drama', 'Romance']",When a Man Loves a Woman
['Fantasy'],Wolf
"['Drama', 'Action', 'Western']",Wyatt Earp
"['Action', 'Crime', 'Romance', 'Thriller']",Bad Company
"['Comedy', 'Drama']",A Man of No Importance
"['Comedy', 'Drama']",S.F.W.
"['Action', 'Comedy', 'Crime']",A Low Down Dirty Shame
['Drama'],"Boys Life: Three Stories of Love, Lust, and Liberation"
['Drama'],Colonel Chabert
"['Action', 'Crime']","Faster, Pussycat! Kill! Kill!"
"['Crime', 'Drama', 'Romance']",Jason's Lyric
"['Animation', 'Science Fiction']",The Secret Adventures of Tom Thumb
"['Action', 'Adventure', 'Thriller']",Street Fighter
"['Action', 'Comedy']",Coldblooded
"['Action', 'Adventure', 'Crime', 'Drama', 'Thriller']",Fall Time
"['Horror', 'Thriller']",The Fear
"['Romance', 'Adventure', 'Crime', 'Drama']",Girl in the Cadillac
"['Thriller', 'Drama']",Homage
"['Action', 'Thriller']",Mirage
['Comedy'],Open Season
"['Action', 'Fantasy', 'Science Fiction']",Highlander: The Final Dimension
"['Horror', 'Mystery', 'Thriller']",In the Mouth of Madness
"['Drama', 'Romance']",8 Seconds
"['Crime', 'Drama']",Above the Rim
"['Comedy', 'Family', 'Fantasy']",Addams Family Values
['Comedy'],Martin Lawrence: You So Crazy
"['Drama', 'Romance']",The Age of Innocence
"['Comedy', 'Crime', 'Music']",Airheads
"['Comedy', 'Family']",The Air Up There
"['Action', 'Comedy']",Another Stakeout
"['Action', 'Adventure', 'Comedy', 'Drama', 'Western']",Bad Girls
"['Comedy', 'Drama', 'Romance']",Barcelona
"['Drama', 'Comedy', 'Fantasy']",Being Human
['Comedy'],The Beverly Hillbillies
"['Action', 'Comedy', 'Crime']",Beverly Hills Cop III
"['Action', 'Adventure', 'Drama', 'Family']",Black Beauty
"['Mystery', 'Crime', 'Drama', 'Thriller']",Blink
"['Drama', 'Action', 'Thriller']",Blown Away
['Drama'],Blue Chips
"['Drama', 'Romance']",Blue Sky
"['Horror', 'Science Fiction', 'Thriller']",Body Snatchers
"['Drama', 'Romance']",Boxing Helena
"['Drama', 'Crime']",A Bronx Tale
['Comedy'],Cabin Boy
"['Drama', 'Comedy']",Calendar Girl
"['Action', 'Crime', 'Drama', 'Thriller']",Carlito's Way
"['Action', 'Comedy', 'Drama', 'Western']",City Slickers II: The Legend of Curly's Gold
"['Comedy', 'Thriller', 'Mystery']",Clean Slate
"['Action', 'Adventure', 'Thriller']",Cliffhanger
"['Comedy', 'Science Fiction', 'Family']",Coneheads
"['Drama', 'Mystery', 'Romance', 'Thriller']",Color of Night
"['Action', 'Comedy', 'Family']",Cops & Robbersons
"['Western', 'Action', 'Comedy']",The Cowboy Way
['Drama'],Dangerous Game
['Comedy'],Dave
"['Comedy', 'Drama']",Dazed and Confused
"['Crime', 'Action', 'Science Fiction']",Demolition Man
['Documentary'],The Endless Summer 2
"['Western', 'Drama', 'Comedy', 'Romance']",Even Cowgirls Get the Blues
['Comedy'],Fatal Instinct
['Drama'],Farewell My Concubine
"['Drama', 'Comedy', 'Romance']",The Favor
['Drama'],Fearless
['Comedy'],Fear of a Black Hat
"['Comedy', 'Drama']",With Honors
"['Drama', 'Mystery', 'Romance']",Flesh and Bone
"['Comedy', 'Thriller', 'Mystery', 'Romance', 'Foreign']",Widows' Peak
"['Comedy', 'Romance']",For Love or Money
"['Drama', 'Mystery', 'Thriller']",The Firm
"['Family', 'Adventure']",Free Willy
"['Crime', 'Drama', 'Thriller']",Fresh
"['Adventure', 'Action', 'Thriller', 'Crime', 'Mystery']",The Fugitive
"['History', 'Action', 'Drama', 'Western']",Geronimo: An American Legend
"['Drama', 'Action', 'Thriller']",The Getaway
"['Family', 'Comedy', 'Crime']",Getting Even with Dad
"['Drama', 'Romance']",Go Fish
"['Comedy', 'Drama']",A Good Man in Africa
"['Drama', 'Thriller']",Guilty as Sin
"['Action', 'Adventure', 'Crime', 'Thriller']",Hard Target
"['History', 'War', 'Action', 'Drama']",Heaven & Earth
"['Action', 'Comedy', 'War']",Hot Shots! Part Deux
['Comedy'],Live Nude Girls
"['Drama', 'Comedy', 'Romance']",The Englishman Who Went Up a Hill But Came Down a Mountain
"['Romance', 'Drama']",The House of the Spirits
['Comedy'],House Party 3
"['Comedy', 'Drama']",The Hudsucker Proxy
"['Comedy', 'Drama']",I'll Do Anything
['Comedy'],In the Army Now
"['Action', 'Drama', 'Thriller', 'Crime', 'Mystery']",In the Line of Fire
['Drama'],In the Name of the Father
"['Comedy', 'Drama', 'Romance']",The Inkwell
"['Drama', 'Music']",What's Love Got to Do with It
['Comedy'],Jimmy Hollywood
"['Action', 'Thriller', 'Crime']",Judgment Night
"['Adventure', 'Science Fiction']",Jurassic Park
"['Thriller', 'Crime']",Kalifornia
"['Action', 'Crime', 'Drama', 'Thriller']",Killing Zoe
['Drama'],King of the Hill
"['Action', 'Adventure', 'Drama', 'Family']",Lassie
"['Adventure', 'Fantasy', 'Action', 'Comedy', 'Family']",Last Action Hero
"['Comedy', 'Family']",Life With Mikey
"['Action', 'Comedy', 'Western']",Lightning Jack
"['Drama', 'Romance']",M. Butterfly
['Comedy'],Made in America
"['Drama', 'Crime']",Malice
['Drama'],The Man without a Face
"['Comedy', 'Mystery']",Manhattan Murder Mystery
"['Drama', 'Action', 'Crime']",Menace II Society
"['Action', 'Adventure', 'Drama', 'Thriller']",Executive Decision
"['Drama', 'Romance']",In the Realm of the Senses
"['Thriller', 'Comedy', 'Drama', 'Romance']",What Happened Was...
"['Drama', 'Comedy', 'Romance']",Much Ado About Nothing
"['Drama', 'Romance']",Mr. Jones
"['Comedy', 'Romance']",Mr. Wonderful
"['Comedy', 'Drama', 'Family']",Mrs. Doubtfire
"['Comedy', 'Drama']",Naked
['Adventure'],The Next Karate Kid
"['Comedy', 'Drama']",The New Age
"['Action', 'Drama', 'Science Fiction', 'Thriller']",No Escape
"['Comedy', 'Drama', 'Family', 'Fantasy', 'Science Fiction']",North
"['Romance', 'Drama', 'Fantasy']",Orlando
"['Crime', 'Drama', 'Thriller']",A Perfect World
['Drama'],Philadelphia
"['Drama', 'Romance']",The Piano
"['Drama', 'Romance']",Poetic Justice
['Drama'],The Program
"['Horror', 'Science Fiction', 'Thriller']",The Puppet Masters
"['Comedy', 'Crime', 'Drama', 'Music', 'Mystery', 'Romance']",Radioland Murders
['Comedy'],The Ref
"['Drama', 'Romance']",The Remains of the Day
"['Comedy', 'War']",Renaissance Man
"['Action', 'Drama', 'Thriller']",Rising Sun
"['Comedy', 'Romance']",The Road to Wellville
"['Action', 'Adventure', 'Crime', 'Science Fiction', 'Thriller']",RoboCop 3
['Comedy'],Robin Hood: Men in Tights
"['Action', 'Crime', 'Drama', 'Thriller']",Romeo Is Bleeding
"['Action', 'Drama', 'Thriller']",Romper Stomper
"['Drama', 'Romance']",Ruby in Paradise
['Drama'],Rudy
['Drama'],The Saint of Fort Washington
['Drama'],Savage Nights
"['Drama', 'History', 'War']",Schindler's List
"['Comedy', 'Drama']",The Scout
['Drama'],Searching for Bobby Fischer
['Drama'],Second Best
"['Drama', 'Family', 'Fantasy']",The Secret Garden
"['Comedy', 'Crime', 'Horror', 'Thriller']",Serial Mom
"['Adventure', 'Fantasy', 'Action', 'Thriller', 'Science Fiction']",The Shadow
"['Drama', 'Romance']",Shadowlands
"['Comedy', 'Drama']",Short Cuts
"['Drama', 'Family']",A Simple Twist of Fate
"['Comedy', 'Drama']",Sirens
"['Mystery', 'Drama', 'Comedy']",Six Degrees of Separation
"['Comedy', 'Drama', 'Romance']",Sleepless in Seattle
"['Drama', 'Thriller']",Sliver
"['Science Fiction', 'Drama', 'Thriller']",Blade Runner
"['Comedy', 'Drama', 'Romance']",Son in Law
"['Comedy', 'Crime', 'Romance']",So I Married an Axe Murderer
"['Crime', 'Action', 'Mystery', 'Thriller']",Striking Distance
"['History', 'Drama', 'Romance']",Harem
"['Adventure', 'Comedy', 'Family', 'Fantasy']",Super Mario Bros.
"['Action', 'Adventure', 'Thriller', 'Crime']",Surviving the Game
"['Action', 'Thriller']",Terminal Velocity
"['Drama', 'Music']",Thirty Two Short Films About Glenn Gould
"['Comedy', 'Drama', 'Family', 'Romance']",Threesome
"['Fantasy', 'Animation', 'Family']",The Nightmare Before Christmas
"['Action', 'Adventure', 'Comedy']",The Three Musketeers
"['Action', 'Adventure', 'Drama', 'History', 'Western']",Tombstone
"['Drama', 'Action', 'Thriller']",Trial by Jury
"['Action', 'Thriller', 'Crime', 'Romance']",True Romance
"['Documentary', 'History']",The War Room
"['Fantasy', 'Science Fiction', 'Family', 'Animation']",The Pagemaster
"['Drama', 'Comedy']","Paris, France"
"['Thriller', 'Drama', 'Romance']",Killer
"['Comedy', 'Drama']",Welcome to the Dollhouse
"['Drama', 'Romance']",Germinal
"['Comedy', 'Romance']",Chasers
"['Drama', 'Horror', 'Thriller']",Cronos
"['Comedy', 'Romance']",Naked in New York
"['Comedy', 'Drama']",Kika
"['Comedy', 'Drama']",Bhaji on the Beach
"['Comedy', 'Family']",Little Big League
['Drama'],The Slingshot
"['TV Movie', 'Drama', 'Romance', 'Comedy']",Wide Eyed and Legless
"['Drama', 'Romance']",Foreign Student
"['Comedy', 'Foreign']","Ciao, Professore!"
"['Comedy', 'Drama']",Spanking the Monkey
"['Romance', 'Comedy', 'Family']",The Little Rascals
"['Drama', 'Family', 'Adventure']",Andre
"['Thriller', 'Crime', 'Drama']",The Escort
"['Comedy', 'Drama', 'History', 'Mystery']",Princess Caraboo
"['History', 'Documentary']",The Celluloid Closet
